# Google Analytics Data Export — Search Console Queries
# Start date: 2026-09-01
# End date: 2026-09-07
# Report: Search Queries

Query,Clicks,Impressions,CTR,Average Position
best ai newsletter tools,187,2341,0.0799,4.2
claude code skills guide,143,1876,0.0762,5.1
weekly analytics automation,98,1432,0.0684,6.8
google analytics scheduled reports,76,1187,0.0640,7.3
substack growth tips 2026,112,1654,0.0677,5.9
automate google analytics reports,65,987,0.0659,8.1
ai writing tools newsletter,89,1543,0.0577,9.2
claude ai skills setup,54,876,0.0616,7.8
google search console tutorial,43,1098,0.0391,12.4
newsletter marketing strategy,38,1234,0.0308,14.1
ai tools for bloggers,71,1876,0.0378,11.3
how to read google analytics,33,987,0.0334,13.8
substack seo tips,45,1123,0.0401,10.6
weekly report automation,29,654,0.0443,9.4
best email newsletter platforms,55,1432,0.0384,11.8
newsletter analytics dashboard,24,543,0.0442,8.9
ai marketing automation 2026,41,876,0.0468,10.2
content marketing analytics,18,432,0.0417,12.1
google analytics 4 tutorial,61,1654,0.0369,13.4
newsletter subscriber growth,36,876,0.0411,11.7
