# Google Analytics Data Export
# Start date: 2026-09-01
# End date: 2026-09-07
# Report: Pages and Screens Engagement

Page path + screen class,Views,Active Users,Average Engagement Time,Engagement Rate
/blog/claude-skills-guide,412,389,312,0.74
/blog/weekly-analytics-setup,387,361,245,0.71
/blog/substack-growth-tips,341,318,278,0.68
/blog/ai-newsletter-tools,498,471,201,0.65
/,643,601,132,0.62
/blog/google-search-console,287,268,198,0.67
/about,234,198,67,0.41
/pricing,178,161,88,0.52
/resources,121,109,94,0.58
/contact,98,67,42,0.38
/blog/email-marketing-tips,212,194,221,0.69
/blog/analytics-for-beginners,178,162,187,0.64
