# Google Analytics Data Export
# Start date: 2026-08-25
# End date: 2026-08-31
# Report: Landing Pages

Landing page + query string,Sessions,New Users,Bounce Rate,Average Session Duration
/,412,289,0.41,119
/blog/ai-newsletter-tools,243,201,0.31,189
/blog/weekly-analytics-setup,198,162,0.34,218
/about,156,97,0.49,71
/blog/substack-growth-tips,167,138,0.29,254
/contact,94,45,0.59,38
/blog/claude-skills-guide,121,104,0.27,287
/pricing,101,72,0.46,92
/blog/google-search-console,98,83,0.36,176
/resources,61,43,0.40,88
