# Google Analytics Data Export — Search Console Queries
# Start date: 2026-08-25
# End date: 2026-08-31
# Report: Search Queries

Query,Clicks,Impressions,CTR,Average Position
best ai newsletter tools,161,2089,0.0771,4.8
claude code skills guide,121,1654,0.0732,5.6
weekly analytics automation,78,1201,0.0649,7.4
google analytics scheduled reports,71,1098,0.0646,7.8
substack growth tips 2026,97,1432,0.0677,6.2
automate google analytics reports,58,876,0.0662,8.4
ai writing tools newsletter,74,1312,0.0564,9.8
claude ai skills setup,43,745,0.0577,8.2
google search console tutorial,38,932,0.0408,13.1
newsletter marketing strategy,31,1089,0.0285,14.8
ai tools for bloggers,59,1543,0.0382,12.1
how to read google analytics,28,843,0.0332,14.2
substack seo tips,36,956,0.0377,11.3
weekly report automation,22,521,0.0422,10.1
best email newsletter platforms,47,1231,0.0382,12.4
newsletter analytics dashboard,19,432,0.0440,9.6
ai marketing automation 2026,33,687,0.0480,10.8
content marketing analytics,14,356,0.0393,12.8
google analytics 4 tutorial,52,1432,0.0363,14.1
newsletter subscriber growth,28,721,0.0388,12.4
